ga:date,bounceRate,sessions,pageviews,avgTimeOnPage,avgSessionDuration,avgPageLoadTime
20210618,28.121212121212118,825,1020,327.7897435897436,77.46181818181819,3.9258
20201113,88.55491329479769,865,1018,265.62987012987014,47.28554913294798,5.130322033898304
20210520,23.57630979498861,878,1017,351.6,56.05353075170843,9.74475
20200930,90.5940594059406,808,1016,192.0721153846154,54.21534653465346,8.242089108910891
20201105,88.38862559241706,844,1013,223.1705882352941,44.95260663507109,4.945837837837837
20201221,25.125628140703515,597,1013,100.83413461538461,70.24455611390285,5.162293333333333
20210314,26.86375321336761,778,1011,274.0128205128205,82.40874035989717,11.443769230769231
20200928,88.98203592814372,835,1010,221.8181818181818,49.723353293413176,6.935392523364486
20210624,25.534308211473565,889,1010,462.2809917355372,62.91676040494938,6.138615384615385
20210603,27.036199095022624,884,1004,412.94262295081967,56.98529411764706,9.839272727272729
20210608,24.739884393063583,865,1000,451.68382352941177,71.0150289017341,27.47277777777778
20200910,88.29516539440203,786,997,240.53080568720378,64.57251908396947,4.452127659574469
20201106,88.43788437884379,813,996,186.7377049180328,42.04551045510455,5.622
20201001,87.71712158808933,806,994,228.20744680851064,53.75682382133995,4.73782
20210321,21.611253196930946,782,994,277.1121495327103,75.88746803069054,14.7506
20210521,26.494724501758498,853,993,440.65,72.47713950762017,5.333142857142857
20210307,22.691292875989447,758,989,254.94017094017093,78.68997361477572,5.035714285714286
20200814,89.77832512315271,812,987,205.03428571428572,44.1871921182266,10.024824324324324
20210623,25.58411214953271,856,986,407.3636363636364,62.8107476635514,13.010444444444445
20200818,89.6969696969697,825,985,221.70625,43.00121212121212,14.45191011235955
20210220,25.438596491228072,798,984,305.58730158730157,72.37593984962406,3.3116666666666665
20210527,27.357392316647267,859,983,369.81102362204723,54.67520372526193,8.159833333333333
20201129,88.27085852478838,827,982,223.25806451612902,41.84280532043531,4.756482758620689
20210214,21.794871794871796,780,982,291.1067961165049,76.91666666666667,3.6024000000000003
20201104,89.86402966625462,809,978,223.90532544378698,46.7663782447466,5.2922
20200810,87.32572877059569,789,977,224.27513227513228,54.92268694550064,6.637833333333333
20210227,25.031446540880502,795,975,396.38461538461536,90.73962264150943,3.497
20200825,89.68058968058969,814,970,249.84615384615384,47.88083538083538,11.836476744186045
20200915,91.24839124839124,777,970,176.10362694300517,43.74903474903475,5.35340506329114
20210101,22.375,800,968,345.08284023668637,72.8975,5.4386
20210622,25.686977299880525,837,966,327.9612403100775,50.54002389486261,5.10275
20201022,90.76354679802957,812,964,194.90131578947367,36.48399014778325,4.920104166666667
20200916,90.64398541919806,823,957,312.8880597014925,50.9453219927096,5.578278846153846
20210402,26.210153482880756,847,955,421.6605504587156,54.26564344746163,6.682875
20210629,25.030826140567203,811,952,287.6737588652482,50.034525277435264,4.091
20210609,24.321133412042503,847,951,524.933962264151,65.6965761511216,8.354583333333334
20200924,88.63346104725414,783,950,210.51785714285714,47.09067688378033,5.757990476190477
20200824,90.45287637698898,817,947,310.5846153846154,49.421052631578945,9.2479
20200806,90.72681704260651,798,946,214.66216216216216,39.81578947368421,7.599235294117647
20201121,86.95652173913044,713,946,198.11587982832617,64.75035063113604,4.179055118110236
20210206,24.846248462484624,813,943,358.2313432835821,59.083640836408364,5.0732
20210517,23.647798742138367,795,939,388.4932432432432,72.31698113207547,8.047666666666666
20201122,88.57509627727856,779,938,270.37106918238993,55.18100128369705,7.377821428571428
20210213,26.68428005284016,757,937,287.1988950276243,68.67899603698811,3.1951428571428573
20210502,24.351050679851667,809,934,382.816,59.13967861557478,4.3757142857142854
20201023,88.875,800,932,239.93939393939394,39.61375,4.037643835616438
20200827,90.5972045743329,787,930,261.44055944055947,47.50317662007624,9.352098901098902
20210403,25.27743526510481,811,930,455.6115702479339,67.97287299630086,9.176857142857143
20200817,90.51724137931035,812,929,278.5546218487395,40.82512315270936,8.906595238095239
20210423,24.96714848883049,761,929,317.6588235294118,71.6149802890933,5.326947368421052
